models,svm,svm,svm,svm
metrics,gmean,sensitivity,specificity,ave_precision
CE_MF,"[0.5669189682152104, 0.014782613808384417]","[0.47047101449275364, 0.02948078517733182]","[0.6960132890365448, 0.02821904959605675]","[0.5052138930459289, 0.018903420029080097]"
