models,svm,svm,svm,svm
metrics,gmean,sensitivity,specificity,ave_precision
CE_BP-MF,"[0.5969760845919541, 0.018424197243116554]","[0.476923076923077, 0.02307692307692307]","[0.7519132653061225, 0.021509688554132895]","[0.543043441360286, 0.03067642911765644]"
